,Version,Success,Description
0,0.8.1,N,Library loading error.
1,0.8.2,N,Library loading error.
2,0.8.3,N,Library loading error.
3,0.8.4,N,Library loading error.
4,0.8.5,N,Library loading error.
5,0.8.6,N,Library loading error.
6,0.8.7,N,Library loading error.
7,0.8.8,N,Library loading error.
8,0.8.9,N,Library loading error.
9,0.9.0,N,Library loading error.
10,0.9.1,N,Library loading error.
11,0.9.2,N,Library loading error.
12,0.9.3,N,Library loading error.
13,0.9.5,N,Library loading error.
14,0.9.6,N,Library loading error.
15,0.9.7,N,Library loading error.
16,0.9.8,N,Library loading error.
17,0.9.9,N,Library loading error.
18,1.0.0,N,Library loading error.
19,1.0.1,N,Library loading error.
20,1.1.0,N,Library loading error.
