,Version,Success,Description
0,0.1.0,N,Library loading error.
1,0.1.1,N,Library loading error.
2,0.1.2,N,Library loading error.
3,0.2.0,N,Library loading error.
4,0.3.0,N,Library loading error.
5,0.4.0,N,Library loading error.
6,0.4.1,N,Library loading error.
7,0.4.2,N,Library loading error.
8,0.4.3,N,Library loading error.
9,0.4.4,N,Library loading error.
10,0.4.5,N,Library loading error.
11,0.4.6,N,Library loading error.
12,0.4.7,N,Library loading error.
13,0.5.0,N,Library loading error.
14,0.5.0-rc1,N,Library loading error.
15,0.6.0,N,Library loading error.
16,0.6.0-rc1,N,Library loading error.
17,0.6.1,N,Library loading error.
18,0.6.2,N,Library loading error.
19,0.6.3,N,Library loading error.
20,0.6.4,N,Library loading error.
21,0.6.5,N,Library loading error.
